Date,yport_sigma,CCI,SBAC,CCI_volume,SBAC_volume,CCI_sigma,SBAC_sigma,yport_sigma_CCI_^GSPC,yport_sigma_SBAC_^GSPC,yport_sigma_CCI_AMT,yport_sigma_SBAC_AMT,yport_sigma_UNH_CI,yport_sigma_UNH_CNC
2013-07-03,0.729831769,55.9777565,73.29982758,925700,366700,1.617064498,1.291533001,0.58818198,0.335520897,1.515120559,0.34989345,0.643273593,0.571997815
2013-07-05,0.726873118,55.83086395,73.08184814,1178000,1199200,1.701663203,1.301528934,0.611970818,0.312012548,1.433683985,0.345862035,0.32238671,0.587699746
2013-07-08,0.624040959,56.68911362,73.59706879,2272500,1115900,1.584145742,1.272208219,0.536502633,0.351180967,1.461959059,0.397570895,0.261080033,0.638304645
2013-07-09,0.619832949,56.20198059,73.71595764,2046700,1059700,1.555880527,1.220959865,0.500345299,0.388534137,1.47308816,0.478618315,0.32300611,0.655114806
2013-07-10,0.404771804,57.8643074,75.2417984,3505500,2137300,1.143920074,1.063669814,0.387171288,0.455095262,1.255756725,0.365464983,0.314921224,0.623310685
2013-07-11,0.284229986,59.3178978,77.27294922,3532800,1890100,0.894982224,0.988558053,0.313621787,0.450599542,0.850601571,0.281815031,0.313120605,0.530690839
2013-07-12,0.358609158,59.76633835,78.19438171,2178700,1358400,1.152964182,1.27963484,0.356590518,0.420655831,0.491955818,0.541066684,0.330761095,0.264501466
2013-07-15,0.391793603,59.81271362,78.12503052,1768800,1510200,1.512275473,1.82514807,0.467432645,0.450936554,0.435700192,0.636986331,0.338459188,0.167456607
2013-07-16,0.392003219,59.03180695,77.93679047,1970300,1127000,1.715301713,2.107842267,0.521129286,0.476662626,0.443495648,0.615398418,0.379367917,0.176507442
2013-07-17,0.360385594,59.10140228,77.68909454,4825100,1653600,1.71483302,2.230268547,0.49924471,0.509519942,0.537714165,0.662647674,0.403943397,0.272919122
2013-07-18,0.366747175,59.09367371,77.97642517,1928700,1081200,1.638709162,2.225795895,0.496280134,0.506572881,0.613824114,0.652222385,0.550510202,0.358969028
2013-07-19,0.300663863,59.3178978,78.68979645,1337000,1391400,1.511326441,2.127640223,0.483936589,0.535759899,0.615539068,0.619606305,0.602428726,0.46389757
2013-07-22,0.272450483,59.22510529,78.07550049,1372600,562600,1.268537676,1.918927817,0.426503354,0.525394689,0.561024209,0.538667505,0.654144094,0.525739106
2013-07-23,0.274506395,59.41838837,77.96652222,1240900,1028200,1.079035059,1.567361021,0.380458156,0.451119735,0.514812379,0.473480739,0.696874013,0.607991368
2013-07-24,0.233398984,59.3178978,77.40175629,1642400,950500,0.538043404,0.941139428,0.187546427,0.239334712,0.46063491,0.393687872,0.827622072,0.6021433
2013-07-25,0.254969318,56.97518158,76.14342499,3543400,2257900,0.266379243,0.405331648,0.164143904,0.202448858,0.483530457,0.434000533,0.904181307,0.6603864
2013-07-26,0.390859539,56.71229553,75.8065567,1725300,1232900,0.794643848,0.676393779,0.418280498,0.394627913,0.44073956,0.404420778,0.996097672,0.679886949
2013-07-29,0.485396157,56.0473671,75.48949432,2278800,860600,1.056431836,0.910469256,0.541444776,0.50799677,0.36293479,0.319182321,0.996080585,0.689869538
2013-07-30,0.575221331,55.60666275,74.86528778,2001800,1180900,1.298838854,1.097719015,0.639675881,0.568730681,0.390105614,0.334502158,1.044786133,0.704726567
2013-07-31,0.655067514,54.31544113,73.40880585,4505200,3086600,1.548416258,1.313668176,0.753030918,0.638391765,0.516843278,0.377590775,1.009231376,0.63143067
2013-08-01,0.743905378,53.8283577,73.62678528,3051900,2275700,1.89829243,1.706528737,0.897838153,0.798037497,0.745776066,0.491306087,0.605903742,0.537737262
2013-08-02,0.809291617,53.58095169,72.7053299,3348800,4347300,2.152130594,1.859217416,1.045042162,0.777015343,0.871055562,0.513893378,0.552647414,0.567621763
2013-08-05,0.879898032,54.55512619,74.6770401,2457200,3376700,2.250636182,1.912322735,0.678302125,0.423166062,0.807665086,0.559824223,0.467186785,0.571508441
2013-08-06,0.845021966,53.95979691,73.91412354,1808200,2005800,2.102632156,1.704066893,0.480937652,0.13126307,0.822235174,0.467892133,0.399053136,0.55840337
2013-08-07,0.734458255,52.8386879,72.90349579,2397000,1469900,1.815900759,1.436275732,0.631357406,0.53305117,0.757703955,0.425034759,0.380261853,0.524899214
2013-08-08,0.503832504,53.10931015,72.59633636,1676300,1964100,1.408502122,1.220422528,0.499154949,0.353508939,0.5336454,0.342719778,0.331638897,0.367702965
2013-08-09,0.417072511,53.16341782,72.76478577,1605900,2302200,1.28288116,1.156348681,0.291976696,0.196272534,0.413205403,0.288816532,0.350013899,0.361285413
2013-08-12,0.31738459,52.14283371,72.77469635,2305600,1531200,1.060829955,1.020187755,0.200626509,0.169506747,0.346732881,0.252855125,0.369150807,0.384313215
2013-08-13,0.39496134,52.3129425,72.58643341,2366400,1858300,0.980133927,0.833839163,0.244332195,0.189282435,0.33864058,0.218434754,0.466808956,0.374801379
2013-08-14,0.331840315,52.39799118,72.08112335,1771200,1494500,0.81075612,0.696097794,0.211417447,0.184698384,0.307528222,0.214319676,0.446676413,0.36860164
2013-08-15,0.301119763,52.76911163,71.59562683,2461200,1875400,0.791636286,0.773289021,0.240695135,0.203507124,0.313777613,0.248684116,0.455300537,0.2655415
2013-08-16,0.377345037,52.50622177,70.9813385,2113300,1270000,0.767057586,0.869521821,0.297307411,0.277127893,0.320035055,0.299091098,0.373932266,0.191844582
2013-08-19,0.46452471,52.96240234,71.06060028,1869000,1174000,0.764827165,1.054751027,0.33137318,0.353783802,0.328146469,0.354341247,0.402014656,0.188166851
2013-08-20,0.5854203,53.31805801,72.3288269,1589400,1355100,0.528736558,0.906345945,0.312476769,0.365065241,0.282415412,0.316105446,0.34522251,0.180396438
2013-08-21,0.598018248,52.7768364,71.67490387,1112100,822600,0.397075101,0.716415873,0.160965849,0.371034456,0.261506347,0.267763303,0.276395755,0.154791308
2013-08-22,0.591403138,52.67633438,71.7640686,839200,693700,0.396056857,0.680592551,0.419133992,0.408977656,0.260841766,0.252236753,0.214059822,0.148798436
2013-08-23,0.600801412,53.91341019,72.79450989,1149600,907600,0.375023823,0.656053247,0.397108354,0.381750055,0.249952854,0.228071512,0.379018107,0.166401608
2013-08-26,0.610189362,53.341259,72.8539505,799900,851000,0.52315525,0.660152953,0.269081395,0.343912685,0.294049542,0.225569957,0.41345309,0.188201819
2013-08-27,0.482377194,54.08349991,73.61688232,2459200,1646100,0.498258031,0.671345148,0.197225652,0.291940896,0.246843027,0.237652683,0.489604247,0.234831002
2013-08-28,0.391604359,53.98297882,73.92403412,1931100,1254400,0.575992258,0.835196641,0.184462547,0.22581926,0.259733724,0.306447363,0.482170235,0.272237283
2013-08-29,0.442298448,54.05257416,74.41943359,889000,1011000,0.587113009,1.019616684,0.183238077,0.491434451,0.26601529,0.425797153,0.459600793,0.304829294
2013-08-30,0.563805416,53.6737175,74.31044006,1303500,914600,0.614099891,1.191819642,0.197993866,0.560140569,0.27046455,0.503054117,0.365488889,0.291548167
2013-09-03,0.63472169,53.52682495,74.51850128,1103400,1679000,0.539966575,1.172286329,0.181572142,0.540478561,0.246005188,0.502095676,0.352714566,0.266446471
